Experience,Rho_max,Packet_generation,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,0.5,600,2000,6,24482,0,2043,0.3425096970239983,91.65509353810964,77.62746362040693,14.027629917702711,0.10155392,0.04288,0.2078941866666666,0.0,0.0,0.0,1077,250,673,0,0,0
1,0.5,600,2000,6,24070,0,2056,0.2253795394560009,91.45824678022436,77.62746362040693,13.830783159817427,0.10155392,0.04288,0.2078941866666666,0.0,0.0,0.0,1077,250,673,0,0,0
1,0.5,600,3000,6,36149,0,4488,0.502502685695997,87.58471880273314,68.73724018777932,18.84747861495381,0.15445248,0.06226176,0.3085977599999999,0.0,0.0,0.0,1638,363,999,0,0,0
1,0.5,600,3000,6,36041,0,4501,0.3601700728319985,87.50589606281734,68.73724018777932,18.76865587503802,0.15445248,0.06226176,0.3085977599999999,0.0,0.0,0.0,1638,363,999,0,0,0
1,0.5,600,4000,6,47913,0,7306,0.6594914641919999,84.74318034771356,61.059414816148994,23.683765531564568,0.2081053866666667,0.08130048,0.4074478933333333,0.0,0.0,0.0,2207,474,1319,0,0,0
1,0.5,600,4000,6,48256,0,7454,0.5389253122559963,84.55321618037135,61.059414816148994,23.49380136422236,0.2081053866666667,0.08130048,0.4074478933333333,0.0,0.0,0.0,2207,474,1319,0,0,0
1,0.5,600,5000,6,60236,0,11344,0.8368429977600002,81.16574805763996,54.30814864470877,26.857599412931187,0.2581751466666667,0.10239744,0.5143295999999999,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,600,5000,6,60465,0,11405,0.7323258316800006,81.13784834201604,55.216689200494116,25.921159141521926,0.25817514666666674,0.10239744,0.49981098666666657,0.02285909333333333,0.008649386666666667,0.00659456,2738,597,1618,37,7,3
