Experience,Rho_max,Packet_generation,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,0.5,300,2000,6,48500,0,7551,0.6769420247039986,84.43092783505155,61.0527983497692,23.37812948528235,0.20310784,0.08576,0.4157883733333333,0.0,0.0,0.0,1077,250,673,0,0,0
1,0.5,300,2000,6,48088,0,7808,0.4442449251840009,83.76310098153385,61.0527983497692,22.71030263176465,0.20310784,0.08576,0.4157883733333333,0.0,0.0,0.0,1077,250,673,0,0,0
1,0.5,300,3000,6,72029,0,15958,0.9988602623999944,77.84225797942496,48.55933430336683,29.282923676058125,0.30890496,0.12452352,0.6171955199999999,0.0,0.0,0.0,1638,363,999,0,0,0
1,0.5,300,3000,6,71993,0,15739,0.8174823022079986,78.1367632964316,53.54740342488438,24.589359871547217,0.30890496,0.12452352,0.4998109866666665,0.1680452266666666,0.0914363733333333,0.0747383466666666,1638,363,809,136,37,17
1,0.5,300,4000,6,96106,0,26383,1.3270733414399982,72.54697937693795,39.02317474938042,33.52380462755753,0.4162107733333334,0.16260096,0.8148957866666666,0.0,0.0,0.0,2207,474,1319,0,0,0
1,0.5,300,4000,6,95801,0,22595,1.2726574318079955,76.41151971273786,46.01837955643622,30.39314015630164,0.4162107733333334,0.16260096,0.4998109866666665,0.4472968533333333,0.2421828266666666,0.2198186666666666,2207,474,809,362,98,50
1,0.5,300,5000,6,120690,0,39533,1.673908076543998,67.2400364570387,31.679825876695624,35.560210580343075,0.5163502933333335,0.20479488,1.0286592,0.0,0.0,0.0,2738,597,1665,0,0,0
1,0.5,300,5000,6,119836,0,35180,1.876973188608001,70.63987449514336,38.98390790537505,31.655966589768312,0.4999432533333333,0.22331904,0.5813623466666665,0.5683882666666665,0.5016644266666667,0.4132590933333334,2651,651,941,460,203,94
1,0.5,300,6000,6,143967,0,53574,1.9994023526399896,62.7873054241597,26.11531639693548,36.67198902722423,0.6195072,0.2521344,1.2232704,0.0,0.0,0.0,3285,735,1980,0,0,0
1,0.5,300,6000,6,144104,0,49088,2.172955475711994,65.93363126630767,33.15131273342735,32.78231853288032,0.4999432533333333,0.3739136,0.9372228266666666,0.5251413333333332,0.5016644266666667,0.5011865600000001,2651,1090,1517,425,203,114
1,0.5,300,7000,6,168467,0,69700,2.326357862399998,58.626318507482175,21.60061595849241,37.02570254898976,0.7222869333333335,0.29398528,1.4290022399999998,0.0,0.0,0.0,3830,857,2313,0,0,0
1,0.5,300,7000,6,168592,0,67156,2.7203440550399978,60.16596279776027,27.620845960963564,32.54511683679671,0.50805248,0.50015232,1.2949367466666664,0.5362619733333334,0.50413568,0.5011865600000001,2694,1458,2096,434,204,114
1,0.5,300,8000,6,191974,0,86508,2.653176176639998,54.9371269026014,18.002171353162403,36.934955549439,0.8271411200000001,0.33549312,1.6285559466666664,0.0,0.0,0.0,4386,978,2636,0,0,0
1,0.5,300,8000,6,192095,0,87480,3.235583364096018,54.457950493245534,23.3423140124678,31.115636480777734,0.6136610133333333,0.50049536,1.3913156266666666,0.8859443199999998,0.50413568,0.5011865600000001,3254,1459,2252,717,204,114
