Experience,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,10,6,1240,257,4,0.00926035968,78.95161290322581,98.92404277381142,19.97242987058561,0.0047146666666666,0.0068608,0.0030890666666666,0.0,0.0,0.0,5,4,1,0,0,0
1,10,6,1193,0,2,0.007798695168,99.83235540653814,98.92404277381142,0.9083126327267196,0.0047146666666666,0.0068608,0.0030890666666666,0.0,0.0,0.0,5,4,1,0,0,0
1,10,6,1240,257,4,0.00926035968,78.95161290322581,98.92404277381142,19.97242987058561,0.0047146666666666,0.0068608,0.0030890666666666,0.0,0.0,0.0,5,4,1,0,0,0
1,10,6,1193,0,2,0.008655326208,99.83235540653814,98.92404277381142,0.9083126327267196,0.0047146666666666,0.0068608,0.0030890666666666,0.0,0.0,0.0,5,4,1,0,0,0
1,1000,6,120591,19605,31058,0.9005774469120006,57.98608519707109,32.695102400678024,25.290982796393067,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119982,0,33533,0.6778634565120003,72.05080762114318,32.695102400678024,39.355705220465154,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,120591,19605,31058,0.9005774469120006,57.98608519707109,32.695102400678024,25.290982796393067,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,118995,0,100389,4.902568133376003,15.625866633051809,32.695102400678024,17.069235767626218,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,120591,19605,31058,0.9005774469120006,57.98608519707109,32.695102400678024,25.290982796393067,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,118998,0,99770,5.0423024263680025,16.149851258004336,32.695102400678024,16.54525114267369,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119258,19137,30489,0.8906225602560011,58.38685874322896,32.695102400678024,25.69175634255094,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119025,0,95349,5.124973223424001,19.881537492123503,32.695102400678024,12.813564908554522,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119258,19137,30489,0.8906225602560011,58.38685874322896,32.695102400678024,25.69175634255094,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119742,0,56730,1.9283352238080016,52.620634363882345,32.695102400678024,19.92553196320432,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119258,19137,30489,0.8906225602560011,58.38685874322896,32.695102400678024,25.69175634255094,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,119738,0,54929,1.6233682229759985,54.12316891880607,32.695102400678024,21.42806651812804,0.7053141333333334,0.2864384,0.2625706666666666,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,23786,3829,1537,0.177634609152,77.44051122509039,78.95726191356654,1.5167506884761508,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,24020,0,1568,0.1743419519999998,93.46794338051625,78.95726191356654,14.510681466949691,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,23786,3829,1537,0.177634609152,77.44051122509039,78.95726191356654,1.5167506884761508,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,24020,0,1568,0.1713458542079998,93.46794338051623,78.95726191356654,14.510681466949691,0.14106282666666667,0.05728768,0.052514133333333324,0.0,0.0,0.0,748,167,85,0,0,0
